Society,Marla,Bedrooms,Bathrooms,Garage,Terrace,Kitchens,Drawing Rooms,Age (years),Condition (1-5),Price (PKR),Society_Encoded
Gulberg,10,5,5,2,1,2,1,18,3,140225738,23
Gulberg,5,4,3,0,1,2,1,5,2,64215911,23
Gulberg,5,3,2,0,0,1,1,26,2,57629897,23
Gulberg,20,6,5,1,2,3,2,2,5,279394962,23
Gulberg,5,4,3,1,1,2,1,25,1,62997729,23
Gulberg,5,4,3,0,1,2,1,2,1,64949733,23
Gulberg,10,4,3,1,1,2,1,28,2,142521429,23
Gulberg,20,5,4,2,2,3,2,29,5,268001200,23
Gulberg,5,2,1,1,0,2,1,12,1,65001017,23
Gulberg,5,2,2,1,0,2,1,23,3,64015149,23
Gulberg,10,5,5,1,2,2,1,8,4,151784408,23
Gulberg,10,4,4,1,1,3,1,4,3,141145030,23
Gulberg,5,4,4,1,1,2,1,0,5,76070996,23
Gulberg,10,5,5,1,1,2,1,27,5,129618876,23
Gulberg,15,4,3,2,2,2,1,12,3,196251220,23
Gulberg,20,6,6,2,2,3,2,5,4,293452176,23
Gulberg,5,3,2,1,1,2,1,24,1,66193292,23
Gulberg,10,3,2,1,1,2,1,7,3,135152091,23
Gulberg,5,4,3,0,1,2,1,23,1,64787522,23
Gulberg,3,3,2,0,0,1,0,16,5,38389732,23
Gulberg,3,2,1,0,0,1,0,0,1,36665251,23
Gulberg,5,3,2,1,1,1,1,10,3,68220713,23
Gulberg,15,4,3,3,1,3,1,0,1,202790934,23
Gulberg,5,2,2,1,1,1,1,25,3,74407348,23
Gulberg,5,4,3,1,0,2,1,17,1,70639889,23
Gulberg,10,4,4,1,1,2,1,27,2,148448347,23
Gulberg,7,3,2,2,2,1,1,4,3,98269675,23
Gulberg,5,4,3,1,1,2,1,23,1,71945250,23
Gulberg,3,3,2,1,0,1,0,15,1,42877719,23
Gulberg,3,3,2,0,0,2,0,28,1,34085625,23
Gulberg,3,3,3,0,0,2,0,6,3,41504342,23
Gulberg,10,6,6,1,1,3,1,29,5,137947251,23
Gulberg,20,6,5,2,2,3,2,28,3,277345305,23
Gulberg,10,6,6,2,1,3,1,20,3,148877782,23
Gulberg,20,4,4,2,1,3,2,20,1,259921111,23
Gulberg,5,2,1,1,1,2,1,13,2,72273006,23
Gulberg,20,5,5,2,2,2,2,21,5,263765849,23
Gulberg,7,4,4,1,0,2,1,24,4,101371222,23
Gulberg,10,6,5,2,2,3,1,14,4,147555246,23
Gulberg,7,5,4,1,0,2,1,28,2,101041483,23
Gulberg,5,3,2,0,1,1,1,0,5,67154695,23
Gulberg,20,6,5,3,1,3,2,19,5,303235500,23
Gulberg,10,5,5,1,1,2,1,22,2,123462429,23
Gulberg,20,6,6,2,1,3,2,29,1,278510301,23
Gulberg,5,2,2,1,0,1,1,22,3,64609022,23
Gulberg,5,2,1,0,0,1,1,14,1,61079930,23
DHA Phase 1-4,5,3,2,1,1,1,1,29,5,54089289,10
DHA Phase 1-4,10,3,2,1,1,2,1,18,2,104791790,10
DHA Phase 1-4,7,3,2,1,2,2,1,16,4,79063467,10
DHA Phase 1-4,20,7,6,2,2,2,3,11,3,226788515,10
DHA Phase 1-4,10,5,4,1,1,2,1,1,5,99818868,10
DHA Phase 1-4,10,3,2,1,1,2,1,29,2,98917711,10
DHA Phase 1-4,7,4,4,1,2,3,1,3,1,82893407,10
DHA Phase 1-4,5,3,3,1,1,1,1,2,4,55609214,10
DHA Phase 1-4,10,6,6,2,2,2,1,22,5,117845548,10
DHA Phase 1-4,5,3,3,1,1,1,1,21,5,60483815,10
DHA Phase 1-4,5,2,2,1,0,2,1,13,4,54864157,10
DHA Phase 1-4,10,3,3,1,1,2,1,20,4,115252369,10
